"","","","","","","","","","",""
"","Companies on London Stock Exchange","","","","","","","","",""
"","As at 31 December 2018","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","Admission Date","Company Name","ICB Industry","ICB Super-Sector","Country of Incorporation","World Region","Market","International Issuer","Company Market Cap (£m)",""
"","25/07/2017","ARENA EVENTS GROUP PLC","Consumer Services","Travel & Leisure","United Kingdom","Europe","AIM ","No","88.11",""
"","03/08/2018","ARGO BLOCKCHAIN PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","MAIN MARKET ","No","11.38",""
"","18/11/2008","ARGO GROUP LIMITED","Financials","Financial Services","Isle of Man","Europe","AIM ","No","8.35",""
"","29/07/2010","ARGOS RESOURCES LIMITED","Oil & Gas","Oil & Gas","Falkland Islands","Latin America","AIM ","Yes","6.18",""
"","28/07/2005","ARIANA RESOURCES PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","16.16",""
"","17/02/2017","ARIX BIOSCIENCE PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","224.48",""
"","13/02/2006","ARMADALE CAPITAL PLC","Utilities","Utilities","United Kingdom","Europe","AIM ","No","2.8",""
"","12/09/2013","ARRICANO REAL ESTATE PLC","Financials","Real Estate","Cyprus","Europe","AIM ","Yes","42.57",""
"","11/10/2013","ARROW GLOBAL GROUP PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","311.99",""
"","16/10/1998","ARTEMIS ALPHA TRUST PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","106.96",""
"","14/12/2004","ARTEMIS VCT PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","30.56",""
"","13/07/2018","ASA INTERNATIONAL GROUP PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","419.3",""
"","09/02/2016","ASCENTIAL PLC","Consumer Services","Media","United Kingdom","Europe","MAIN MARKET ","No","1,510.74",""
"","10/11/2004","ASCENT RESOURCES PLC","Oil & Gas","Oil & Gas","United Kingdom","Europe","AIM ","No","6.87",""
"","05/04/2007","ASEANA PROPERTIES LIMITED","Financials","Real Estate","Jersey","Europe","MAIN MARKET ","No","84.63",""
"","15/01/2007","ASHLEY HOUSE PLC","Industrials","Construction & Materials","United Kingdom","Europe","AIM ","No","7.07",""
"","05/12/1985","ASHLEY (LAURA) HOLDINGS PLC","Consumer Services","Retail","United Kingdom","Europe","MAIN MARKET ","No","23.58",""
"","12/12/2007","ASHMORE GLOBAL OPPORTUNITIES LIMITED","Financials","Financial Services","Guernsey","Europe","MAIN MARKET ","No","19.44",""
"","17/10/2006","ASHMORE GROUP PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","2,605.78",""
"","06/07/2018","ASHOKA INDIA EQUITY INVESTMENT TRUST PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","42.38",""
"","07/02/1070","ASHPOL PLC","","","United Kingdom","Europe","MAIN MARKET ","No","-",""
"","08/10/1990","ASHTEAD GROUP PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","MAIN MARKET ","No","7,821.9",""
"","16/09/1996","ASIA CEMENT CORPORATION","Industrials","Construction & Materials","Taiwan","Asia","PROFESSIONAL SECURITIES MARKET ","Yes","-",""
"","13/12/2006","ASIAMET RESOURCES LIMITED","Basic Materials","Basic Resources","Bermuda","North America","AIM ","Yes","38.7",""
"","03/10/2001","ASOS PLC","Consumer Services","Retail","United Kingdom","Europe","AIM ","No","1,909.77",""
"","30/03/2007","ASSETCO PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","AIM ","No","36.63",""
"","05/11/1937","ASSOCIATED BRITISH ENGINEERING PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","MAIN MARKET ","No","0.31",""
"","01/08/1994","ASSOCIATED BRITISH FOODS PLC","Consumer Goods","Food & Beverage","United Kingdom","Europe","MAIN MARKET ","No","16,173.9",""
"","28/01/2015","ASSURA PLC","Financials","Real Estate","United Kingdom","Europe","MAIN MARKET ","No","1,263.97",""
"","03/10/2018","ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC","Consumer Goods","Automobiles & Parts","United Kingdom","Europe","MAIN MARKET ","No","2,789.84",""
"","01/06/1993","ASTRAZENECA PLC","Health Care","Health Care","United Kingdom","Europe","MAIN MARKET ","No","74,399.85",""
"","09/05/2005","ATALAYA MINING PLC","Basic Materials","Basic Resources","Cyprus","Europe","AIM ","Yes","287.73",""
"","24/09/2008","ATHELNEY TRUST PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","5.29",""
"","10/05/1996","ATLANTIS JAPAN GROWTH FUND LD","Financials","Financial Services","Guernsey","Europe","MAIN MARKET ","No","85.24",""
"","20/12/2013","ATLAS MARA LIMITED","Financials","Financial Services","British Virgin Islands","North America","MAIN MARKET ","Yes","221.28",""
"","19/08/2014","ATTRAQT GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","35.1",""
"","22/08/2014","AUCTUS GROWTH PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","0.88",""
"","12/12/2005","AUDIOBOOM GROUP PLC","Consumer Services","Media","Jersey","Europe","AIM ","No","11.73",""
"","15/12/2004","AUGEAN PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","AIM ","No","76.28",""
"","13/03/2018","AUGMENTUM FINTECH PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","91.93",""
"","25/04/2006","AUKETT SWANKE GROUP PLC","Industrials","Construction & Materials","United Kingdom","Europe","AIM ","No","2.15",""
"","12/09/2016","AURA ENERGY LIMITED","Basic Materials","Basic Resources","Australia","Pacific","AIM ","Yes","10.47",""
"","14/03/1997","AURORA INVESTMENT TRUST PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","101.42",""
"","22/08/2016","AUTINS GROUP PLC","Consumer Goods","Automobiles & Parts","United Kingdom","Europe","AIM ","No","5.08",""
"","24/03/2015","AUTO TRADER GROUP PLC","Consumer Services","Media","United Kingdom","Europe","MAIN MARKET ","No","4,267.02",""
"","08/08/2006","AVACTA GROUP PLC","Health Care","Health Care","United Kingdom","Europe","AIM ","No","35.22",""
"","06/05/2010","AVANGARDCO INVESTMENTS PUBLIC LIMITED","Consumer Goods","Food & Beverage","Cyprus","Europe","MAIN MARKET ","Yes","-",""
"","16/04/2007","AVANTI COMMUNICATIONS GROUP PLC","Telecommunications","Telecommunications","United Kingdom","Europe","AIM ","No","53.98",""
"","10/05/2018","AVAST PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","2,707.72",""
"","06/10/2010","AVATION PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","MAIN MARKET ","No","166.04",""
"","13/04/2011","AVESORO RESOURCES INC.","Basic Materials","Basic Resources","Canada","North America","AIM ","Yes","120.73",""
"","05/12/1996","AVEVA GROUP PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","3,902.75",""
"","23/10/2018","AVI JAPAN OPPORTUNITY TRUST PLC","Financials","Financial Services","United Kingdom","Europe","MAIN MARKET ","No","80",""
"","14/10/2004","AVINGTRANS PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","AIM ","No","55.98",""
"","04/06/1990","AVIVA PLC","Financials","Insurance","United Kingdom","Europe","MAIN MARKET ","No","14,910.1",""
"","26/07/2002","AVOCET MINING PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","1.2",""
"","12/07/1949","AVON RUBBER PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","MAIN MARKET ","No","387.79",""
"","23/05/2005","AXA PROPERTY TRUST LIMITED","Financials","Real Estate","Guernsey","Europe","MAIN MARKET ","No","8.64",""
"","05/11/2015","AXIOM EUROPEAN FINANCIAL DEBT FUND LIMITED","Financials","Financial Services","Guernsey","Europe","MAIN MARKET ","No","75.2",""
"","22/03/2005","AXIS BANK LIMITED","Financials","Banks","India","Asia","PROFESSIONAL SECURITIES MARKET ","Yes","-",""
"","14/08/1989","BABCOCK INTERNATIONAL GROUP PLC","Industrials","Industrial Goods & Services","United Kingdom","Europe","MAIN MARKET ","No","2,473.88",""
